PlayerName,CourseName,LayoutName,Date,Total,+/-,Hole1,Hole2,Hole3,Hole4,Hole5,Hole6,Hole7,Hole8,Hole9,Hole10,Hole11,Hole12,Hole13,Hole14,Hole15,Hole16,Hole17,Hole18,Hole19,Hole20,Hole21
Par,Robbins Park,Main,2020-07-23 12:03,56,,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,3,3,,,
Mark,Robbins Park,Main,2020-07-23 12:03,53,-3,3,3,2,3,3,2,3,3,4,3,2,4,2,3,3,5,3,2,,,
Par,Robbins Park,Main,2020-07-22 18:24,56,,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,3,3,,,
Mark,Robbins Park,Main,2020-07-22 18:24,51,-5,2,2,3,3,4,2,2,3,3,2,3,3,2,4,3,5,3,2,,,
Par,Bradford Park,19 Holes - Shorts,2020-07-19 18:00,58,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,,
Mark,Bradford Park,19 Holes - Shorts,2020-07-19 18:00,59,1,3,3,3,3,3,4,4,3,4,3,3,2,3,3,3,4,2,3,3,,
Par,Jackson Park,Main,2020-07-19 12:39,58,,3,4,3,3,3,4,3,4,3,3,3,3,3,3,3,3,3,4,,,
Mark,Jackson Park,Main,2020-07-19 12:39,51,-7,2,3,3,3,3,4,2,4,2,3,3,3,3,3,2,2,2,4,,,
Par,Jackson Park,Main,2020-07-19 11:09,58,,3,4,3,3,3,4,3,4,3,3,3,3,3,3,3,3,3,4,,,
Mark,Jackson Park,Main,2020-07-19 11:09,52,-6,2,3,3,3,2,3,2,4,3,2,3,3,3,3,3,4,3,3,,,
Par,Robbins Park,Main,2020-07-16 19:26,56,,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,3,3,,,
Mark,Robbins Park,Main,2020-07-16 19:26,50,-6,3,2,3,3,2,2,2,3,2,4,3,3,3,3,3,5,2,2,,,
Par,Robbins Park,Main,2020-07-08 16:45,56,,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,3,3,,,
Mark,Robbins Park,Main,2020-07-08 16:45,54,-2,2,3,3,2,4,2,2,2,4,3,3,4,3,3,3,4,5,2,,,
Par,Robbins Park,Main,2020-07-08 15:12,56,,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,3,3,,,
Mark,Robbins Park,Main,2020-07-08 15:12,56,0,2,3,2,3,2,3,4,3,3,6,3,4,5,3,2,3,3,2,,,
Par,Bradford Park,19 Holes - Shorts,2020-07-01 18:13,58,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,,
Mark,Bradford Park,19 Holes - Shorts,2020-07-01 18:13,58,0,3,3,3,3,3,4,3,2,3,3,3,2,3,3,4,4,3,3,3,,
Par,Bailey Road Park,Max Holes - 2016,2020-06-26 19:16,63,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Mark,Bailey Road Park,Max Holes - 2016,2020-06-26 19:16,50,-13,2,2,2,2,2,3,2,3,3,2,2,2,3,3,3,2,2,2,3,2,3
Par,Bailey Road Park,Max Holes - 2016,2020-06-26 18:09,63,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Mark,Bailey Road Park,Max Holes - 2016,2020-06-26 18:09,54,-9,2,3,2,2,2,3,3,3,2,3,2,3,3,3,3,2,2,3,2,2,4
Par,Bailey Road Park,Max Holes - 2016,2020-06-26 17:04,63,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Mark,Bailey Road Park,Max Holes - 2016,2020-06-26 17:04,59,-4,2,2,3,3,3,3,4,2,3,3,2,5,2,3,4,2,3,3,2,2,3
Par,Robbins Park,Main,2020-06-24 18:32,56,,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,3,3,,,
Mark,Robbins Park,Main,2020-06-24 18:32,55,-1,3,3,2,3,3,2,3,4,4,3,3,4,2,3,3,4,4,2,,,
Par,Robbins Park,Main,2020-06-23 18:37,56,,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,3,3,,,
Mark,Robbins Park,Main,2020-06-23 18:37,60,4,4,3,2,4,2,3,2,3,3,3,4,5,4,3,3,4,4,4,,,
Par,Robbins Park,Main,2020-06-22 17:33,56,,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,3,3,,,
Mark,Robbins Park,Main,2020-06-22 17:33,51,-5,3,4,2,3,3,2,2,2,3,3,2,4,2,3,3,4,3,3,,,
Par,Bailey Road Park,Max Holes - 2016,2020-06-20 18:15,63,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Mark,Bailey Road Park,Max Holes - 2016,2020-06-20 18:15,54,-9,2,3,3,2,2,3,4,4,2,3,2,4,3,2,2,2,2,3,2,2,2
Par,Robbins Park,Main,2020-06-08 18:10,56,,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,3,3,,,
Mark,Robbins Park,Main,2020-06-08 18:10,57,1,3,2,2,3,4,2,4,3,3,3,4,4,4,3,4,4,2,3,,,
Par,Bailey Road Park,Max Holes - 2016,2020-06-05 18:36,63,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Mark,Bailey Road Park,Max Holes - 2016,2020-06-05 18:36,55,-8,3,2,2,3,3,3,2,2,2,3,2,3,3,2,3,2,3,3,3,3,3
Par,Bradford Park,19 Holes - Shorts,2020-06-04 18:41,58,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,,
Mark,Bradford Park,19 Holes - Shorts,2020-06-04 18:41,59,1,3,3,3,4,4,3,3,3,3,2,4,2,3,2,3,4,2,4,4,,
Par,Bradford Park,19 Holes - Shorts,2020-06-03 17:32,58,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,,
Mark,Bradford Park,19 Holes - Shorts,2020-06-03 17:32,59,1,3,3,3,3,3,3,3,3,3,5,2,3,3,3,3,3,3,3,4,,
Par,Bailey Road Park,Max Holes - 2016,2020-05-31 16:13,63,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Mark,Bailey Road Park,Max Holes - 2016,2020-05-31 16:13,57,-6,2,3,3,2,2,2,3,3,3,2,3,2,6,3,3,2,3,2,4,2,2
Par,Bailey Road Park,Max Holes - 2016,2020-05-30 18:16,63,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Mark,Bailey Road Park,Max Holes - 2016,2020-05-30 18:16,51,-12,2,3,2,2,2,3,3,2,3,3,2,3,3,2,3,2,2,3,2,2,2
Par,Bailey Road Park,Max Holes - 2016,2020-05-26 18:10,63,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Mark,Bailey Road Park,Max Holes - 2016,2020-05-26 18:10,57,-6,3,4,3,3,2,2,2,2,3,2,2,3,3,3,3,2,2,3,4,4,2
Par,Nevin Park,Long Tees,2020-05-17 13:07,69,,4,3,3,4,5,3,3,3,4,5,4,5,3,4,3,4,5,4,,,
Mark,Nevin Park,Long Tees,2020-05-17 13:07,70,1,3,4,3,4,4,3,3,3,4,5,4,5,3,4,3,5,6,4,,,
Par,Nevin Park,Long Tees,2020-05-17 11:08,69,,4,3,3,4,5,3,3,3,4,5,4,5,3,4,3,4,5,4,,,
Mark,Nevin Park,Long Tees,2020-05-17 11:08,76,7,4,5,4,5,6,3,4,4,4,4,6,5,4,3,3,4,4,4,,,
Par,Robbins Park,Main,2020-05-15 16:57,56,,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,3,3,,,
Mark,Robbins Park,Main,2020-05-15 16:57,56,0,3,4,3,3,2,2,2,3,3,3,4,5,3,3,3,4,3,3,,,
Par,Bradford Park,19 Holes - Shorts,2020-05-14 18:37,58,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,,
Mark,Bradford Park,19 Holes - Shorts,2020-05-14 18:37,58,0,2,4,2,4,3,2,4,3,6,3,2,3,3,3,3,3,3,2,3,,
Par,Bradford Park,19 Holes - Shorts,2020-05-09 14:51,58,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,,
Mark,Bradford Park,19 Holes - Shorts,2020-05-09 14:51,61,3,3,4,3,4,3,4,2,3,3,3,2,2,3,4,3,4,4,3,4,,
Par,Bradford Park,19 Holes - Shorts,2020-05-09 13:00,58,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,,
Mark,Bradford Park,19 Holes - Shorts,2020-05-09 13:00,58,0,3,4,4,3,4,3,3,3,4,3,2,3,2,3,3,2,3,2,4,,
Par,Bailey Road Park,Max Holes - 2016,2020-05-03 15:26,63,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Mark,Bailey Road Park,Max Holes - 2016,2020-05-03 15:26,56,-7,3,2,2,3,2,3,2,2,3,2,4,3,2,4,2,2,3,3,3,2,4
Par,Robbins Park,Main,2020-05-01 16:45,56,,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,3,3,,,
Mark,Robbins Park,Main,2020-05-01 16:45,59,3,3,3,3,3,4,3,2,3,3,3,3,6,3,4,3,4,3,3,,,
Par,Bradford Park,19 Holes - Shorts,2020-04-25 18:01,58,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,,
Mark,Bradford Park,19 Holes - Shorts,2020-04-25 18:01,61,3,3,3,3,3,3,4,3,4,3,3,2,3,3,3,4,4,5,2,3,,
Par,Bradford Park,Long Tees,2020-04-25 13:07,58,,3,4,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,4,,,
Mark,Bradford Park,Long Tees,2020-04-25 13:07,64,6,4,5,3,2,3,3,3,5,4,4,3,3,3,3,6,3,3,4,,,
Par,Robbins Park,Main,2020-04-22 17:41,56,,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,3,3,,,
Mark,Robbins Park,Main,2020-04-22 17:41,56,0,3,4,4,3,4,3,2,2,3,4,2,4,3,3,3,4,2,3,,,
Par,Bailey Road Park,Max Holes - 2016,2020-04-21 17:40,63,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Lark,Bailey Road Park,Max Holes - 2016,2020-04-21 17:40,64,1,3,2,4,2,2,5,3,3,2,4,2,3,4,3,3,3,3,2,5,3,3
Par,Bradford Park,19 Holes - Shorts,2020-04-19 15:12,58,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,,
Lark,Bradford Park,19 Holes - Shorts,2020-04-19 15:12,74,16,5,4,3,4,3,4,6,4,4,3,3,3,3,5,2,6,2,3,7,,
Par,Bailey Road Park,Max Holes - 2016,2020-04-18 15:28,63,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Lark,Bailey Road Park,Max Holes - 2016,2020-04-18 15:28,71,8,3,3,3,3,3,3,4,3,5,2,3,3,6,3,4,3,3,3,3,4,4
Par,Bailey Road Park,Max Holes - 2016,2020-04-18 14:16,63,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Mark,Bailey Road Park,Max Holes - 2016,2020-04-18 14:16,52,-11,2,3,2,3,3,3,3,2,2,2,2,2,2,2,3,3,3,3,2,2,3
